W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,20,1500,0.8695,0.7955,0,1,0,1,0,1,1.000,0.8154,0.5577,0.4106,0,1,0.9999,0.7744,0.9588,0.7360,0.7462,0.3367,0.6085,0.5240,0,1,1.000,0.7355,0.9483,0.6733,0.6337,0.4318,0.2235,0.1949,0,1,0.9994,0.6848,1.000,0.7437,0.2176,0.0941,0.9799,0.7872,0,1,0,1,0,1,0.9999,0.7666
3,20,2000,0.8775,0.7912,0,1,0,1,0,1,1.000,0.8138,0.5681,0.3989,0,1,1.000,0.7726,1.000,0.7860,0.7361,0.3426,0.6298,0.5528,0,1,1.000,0.7011,0.9516,0.6840,0.6647,0.4677,0.2174,0.1928,0,1,0.9603,0.6659,1.000,0.7621,0.2167,0.0833,0.9921,0.7892,0,1,0,1,0,1,0.9999,0.7665
3,30,1000,0.8383,0.7958,0,1,0,1,0,1,0.9514,0.8119,0.7011,0.6210,0,1,1.000,0.8789,0.8281,0.6793,0.8424,0.5994,0.8020,0.7498,0,1,1.000,0.7373,0.8394,0.7070,0.8734,0.6471,0,1,0,1,0.8650,0.6790,1.000,0.7717,0.4443,0.2618,0.9540,0.4357,0,1,0,1,0,1,1.000,0.7192
3,30,1500,0.8428,0.7881,0,1,0,1,0,1,0.9727,0.8058,0.6341,0.5227,0,1,1.000,0.8619,0.8845,0.6915,0.7870,0.5308,0.7942,0.7258,0,1,0.9998,0.7529,0.8403,0.6563,0.8615,0.6415,0.3339,0.3153,0,1,0.7945,0.6040,1.000,0.7642,0.4191,0.2751,0.9399,0.5280,0,1,0,1,0,1,1.000,0.7028
3,30,2000,0.8579,0.7791,0,1,0,1,0,1,0.9798,0.8171,0.6217,0.5018,0,1,1.000,0.8477,0.9224,0.7477,0.7557,0.5121,0.8132,0.7516,0,1,1.000,0.7325,0.8334,0.6410,0.8812,0.6362,0.3326,0.3077,0,1,0.7980,0.6131,1.000,0.7827,0.4115,0.2621,0.9447,0.5066,0,1,0,1,0,1,1.000,0.7146
3,40,1000,0.8215,0.7784,0,1,0,1,0,1,0.9392,0.8464,0.8885,0.7741,0,1,0.9999,0.7958,0.8157,0.7029,1.000,0.9136,0.7192,0.6788,0,1,1.000,0.7048,0.8694,0.7495,0.772,0.6548,0,1,0,1,0.7806,0.6315,1.000,0.7357,0.3637,0.2865,0.9664,0.7168,0,1,0,1,0,1,0.9991,0.7327
3,40,1500,0.8238,0.7740,0,1,0,1,0,1,0.9473,0.8447,0.8066,0.6634,0,1,1.000,0.8788,0.8980,0.7632,0.9898,0.8681,0.7342,0.6568,0,1,0.9997,0.7198,0.9092,0.7805,0.7813,0.6785,0.3876,0.3740,0,1,0.7669,0.6028,1.000,0.7213,0.3649,0.2900,0.9425,0.7495,0,1,0,1,0,1,1.000,0.7586
3,40,2000,0.8342,0.7652,0,1,0,1,0,1,0.9486,0.8408,0.7642,0.6320,0,1,1.000,0.8471,0.9423,0.8339,0.9445,0.8320,0.7352,0.6435,0,1,0.9999,0.7184,0.8928,0.7641,0.7861,0.6854,0.3745,0.3634,0,1,0.7571,0.6116,0.9999,0.7260,0.3632,0.2925,0.9440,0.7256,0,1,0,1,0,1,0.9996,0.7585
3,50,1000,0.8329,0.7883,0,1,0,1,0,1,0.9818,0.8814,0.8020,0.7232,0,1,0.9740,0.7724,0.7710,0.6941,0.9336,0.8007,0.6274,0.5880,0,1,1.000,0.6559,0.8840,0.7978,0.6955,0.5959,0,1,0,1,0.6864,0.6202,0.9998,0.7324,0.5191,0.4690,0.9954,0.8084,0,1,0,1,0,1,0.9997,0.7584
3,50,1500,0.8343,0.7682,0,1,0,1,0,1,0.9646,0.8776,0.7111,0.5967,0,1,1.000,0.8826,0.8363,0.7522,0.8597,0.7092,0.6299,0.5714,0,1,1.000,0.6881,0.9033,0.8312,0.7004,0.6153,0.4426,0.4329,0,1,0.6478,0.5690,0.9999,0.7136,0.4973,0.4512,0.9976,0.8431,0,1,0,1,0,1,1.000,0.7467
