"ngram_0","ngram_1","key","probability_key","ngram_weight"
9, 23, 26, 0.2, 0.001178967224711153
9, 23, 9, 0.4, 0.001178967224711153
9, 23, 8, 0.4, 0.001178967224711153
23, 9, 2, 0.5, 4.715868898844612E-4
23, 9, 17, 0.5, 4.715868898844612E-4
2, 26, 22, 1.0, 2.357934449422306E-4
26, 22, 3, 0.5, 4.715868898844612E-4
26, 22, 38, 0.5, 4.715868898844612E-4
3, 24, 6, 0.5, 9.431737797689225E-4
3, 24, 22, 0.25, 9.431737797689225E-4
3, 24, 7, 0.25, 9.431737797689225E-4
24, 6, 19, 0.2, 0.001178967224711153
24, 6, 22, 0.2, 0.001178967224711153
24, 6, 7, 0.2, 0.001178967224711153
24, 6, 13, 0.2, 0.001178967224711153
24, 6, 33, 0.2, 0.001178967224711153
6, 19, 9, 0.5, 4.715868898844612E-4
6, 19, 2, 0.5, 4.715868898844612E-4
19, 9, 16, 0.3333333333333333, 7.073803348266918E-4
19, 9, 39, 0.3333333333333333, 7.073803348266918E-4
19, 9, 28, 0.3333333333333333, 7.073803348266918E-4
9, 16, 5, 0.3333333333333333, 7.073803348266918E-4
9, 16, 9, 0.3333333333333333, 7.073803348266918E-4
9, 16, 8, 0.3333333333333333, 7.073803348266918E-4
16, 5, 7, 0.3333333333333333, 7.073803348266918E-4
16, 5, 8, 0.3333333333333333, 7.073803348266918E-4
16, 5, 4, 0.3333333333333333, 7.073803348266918E-4
3, 28, 14, 1.0, 2.357934449422306E-4
28, 14, 18, 0.5, 4.715868898844612E-4
28, 14, 7, 0.5, 4.715868898844612E-4
14, 18, 3, 0.5, 4.715868898844612E-4
14, 18, 9, 0.5, 4.715868898844612E-4
18, 3, 7, 0.3333333333333333, 7.073803348266918E-4
18, 3, 8, 0.3333333333333333, 7.073803348266918E-4
18, 3, 9, 0.3333333333333333, 7.073803348266918E-4
9, 6, 2, 0.2, 0.001178967224711153
9, 6, 11, 0.2, 0.001178967224711153
9, 6, 7, 0.2, 0.001178967224711153
9, 6, 18, 0.2, 0.001178967224711153
9, 6, 25, 0.2, 0.001178967224711153
3, 5, 6, 0.2, 0.001178967224711153
3, 5, 16, 0.2, 0.001178967224711153
3, 5, 40, 0.2, 0.001178967224711153
3, 5, 3, 0.2, 0.001178967224711153
3, 5, 22, 0.2, 0.001178967224711153
5, 6, 9, 1.0, 2.357934449422306E-4
6, 9, 6, 0.14285714285714285, 0.0016505541145956143
6, 9, 3, 0.2857142857142857, 0.0016505541145956143
6, 9, 7, 0.14285714285714285, 0.0016505541145956143
6, 9, 19, 0.14285714285714285, 0.0016505541145956143
6, 9, 39, 0.14285714285714285, 0.0016505541145956143
6, 9, 21, 0.14285714285714285, 0.0016505541145956143
6, 11, 28, 0.3333333333333333, 7.073803348266918E-4
6, 11, 22, 0.3333333333333333, 7.073803348266918E-4
6, 11, 19, 0.3333333333333333, 7.073803348266918E-4
11, 28, 5, 0.5, 9.431737797689225E-4
11, 28, 28, 0.25, 9.431737797689225E-4
11, 28, 11, 0.25, 9.431737797689225E-4
28, 5, 26, 0.5, 4.715868898844612E-4
28, 5, 16, 0.5, 4.715868898844612E-4
5, 26, 31, 1.0, 2.357934449422306E-4
26, 31, 33, 1.0, 2.357934449422306E-4
3, 30, 9, 1.0, 2.357934449422306E-4
30, 9, 3, 1.0, 2.357934449422306E-4
3, 11, 9, 1.0, 2.357934449422306E-4
11, 9, 24, 0.16666666666666666, 0.0014147606696533837
11, 9, 34, 0.16666666666666666, 0.0014147606696533837
11, 9, 12, 0.16666666666666666, 0.0014147606696533837
11, 9, 9, 0.16666666666666666, 0.0014147606696533837
11, 9, 19, 0.16666666666666666, 0.0014147606696533837
11, 9, 23, 0.16666666666666666, 0.0014147606696533837
24, 21, 6, 0.25, 9.431737797689225E-4
24, 21, 5, 0.25, 9.431737797689225E-4
24, 21, 24, 0.25, 9.431737797689225E-4
24, 21, 17, 0.25, 9.431737797689225E-4
21, 6, 7, 0.4, 0.001178967224711153
21, 6, 35, 0.2, 0.001178967224711153
21, 6, 12, 0.2, 0.001178967224711153
21, 6, 21, 0.2, 0.001178967224711153
6, 7, 33, 0.05263157894736842, 0.004480075453902382
6, 7, 22, 0.15789473684210525, 0.004480075453902382
6, 7, 4, 0.15789473684210525, 0.004480075453902382
6, 7, 1, 0.10526315789473684, 0.004480075453902382
6, 7, 29, 0.05263157894736842, 0.004480075453902382
6, 7, 13, 0.21052631578947367, 0.004480075453902382
6, 7, 19, 0.05263157894736842, 0.004480075453902382
6, 7, 21, 0.05263157894736842, 0.004480075453902382
6, 7, 8, 0.05263157894736842, 0.004480075453902382
6, 7, 12, 0.05263157894736842, 0.004480075453902382
6, 7, 16, 0.05263157894736842, 0.004480075453902382
18, 22, 3, 0.5, 4.715868898844612E-4
18, 22, 13, 0.5, 4.715868898844612E-4
6, 22, 5, 0.125, 0.001886347559537845
6, 22, 19, 0.25, 0.001886347559537845
6, 22, 3, 0.125, 0.001886347559537845
6, 22, 14, 0.125, 0.001886347559537845
6, 22, 6, 0.125, 0.001886347559537845
6, 22, 7, 0.125, 0.001886347559537845
6, 22, 2, 0.125, 0.001886347559537845
22, 5, 2, 0.5, 4.715868898844612E-4
22, 5, 16, 0.5, 4.715868898844612E-4
5, 2, 9, 1.0, 2.357934449422306E-4
9, 7, 18, 0.14285714285714285, 0.0016505541145956143
9, 7, 17, 0.14285714285714285, 0.0016505541145956143
9, 7, 9, 0.2857142857142857, 0.0016505541145956143
9, 7, 3, 0.14285714285714285, 0.0016505541145956143
