best_threshold: 0.86
false_positive_percentage: 0.001607178550784141
false_negative_percentage: 0.3074761653517221
number_of_tests_conducted: 451713

minimized_false_positive_threshold: 1.05
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 451713

equalized_false_positive_negative_threshold: 0.8
false_positive_percentage: 0.10430723851610149
false_negative_percentage: 0.021264064589749568
number_of_tests_conducted: 451713

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
0.669	0.1676003608723603	0.0	0.8626384452074658
0.6699999999999999	0.16757334946814545	0.0	0.8626605831578901
0.671	0.16751392437887275	0.0	0.8627092866488235
0.6719999999999999	0.1674112810428563	0.0	0.8627934108604357
0.6729999999999999	0.16737616621737697	0.0	0.8628221901959873
0.6739999999999999	0.16735995937484807	0.0	0.8628354729662419
0.6749999999999999	0.16731133884726132	0.0	0.8628753212770055
0.6759999999999999	0.1672573160388316	0.0	0.862919597177854
0.6769999999999999	0.16724110919630267	0.0	0.8629328799481086
0.6779999999999999	0.16720329323040187	0.0	0.8629638730787026
0.6789999999999999	0.16718708638787297	0.0	0.8629771558489572
0.6799999999999999	0.16714656928155067	0.0	0.8630103627745936
0.6809999999999999	0.1671033510348069	0.0	0.8630457834952724
0.6819999999999999	0.1669655928733111	0.0	0.8631586870424363
0.6829999999999999	0.1669115700648814	0.0	0.8632029629432848
0.6839999999999999	0.166892662081931	0.0	0.8632184595085818
0.6849999999999999	0.16686294953729464	0.0	0.8632428112540484
0.6859999999999999	0.16683863927350126	0.0	0.8632627354094303
0.6869999999999999	0.1668143290097079	0.0	0.8632826595648122
0.688	0.16676840962254263	0.0	0.8633202940805335
0.689	0.16674409935874926	0.0	0.8633402182359153
0.69	0.16673059365664183	0.0	0.8633512872111274
0.691	0.166698179971584	0.0	0.8633778527516366
0.692	0.16667386970779063	0.0	0.8633977769070184
0.693	0.16664955944399726	0.0	0.8634177010624002
0.694	0.16663335260146833	0.0	0.8634309838326548
0.695	0.16656582409093118	0.0	0.8634863287087154
0.696	0.16650099672081553	0.0	0.8635394597897338
0.697	0.16647668645702215	0.0	0.8635593839451156
0.698	0.16644427277196433	0.0	0.8635859494856247
0.699	0.16640375566564203	0.0	0.8636191564112611
0.7	0.16633892829552638	0.0	0.8636722874922794
0.701	0.1662957100487826	0.0	0.8637077082129583
0.702	0.16624168724035288	0.0	0.8637519841138068
0.703	0.1661606530277083	0.0	0.8638183979650796
0.704	0.16605530855127035	0.0	0.8639047359717342
0.705	0.16596617091736132	0.0	0.8639777912081343
0.706	0.16588783784513822	0.0	0.8640419912643648
0.707	0.16570416029647717	0.0	0.8641925293272498
0.708	0.1655853101179318	0.0	0.8642899363091167
0.709	0.16547456336065086	0.0	0.8643807019058561
0.71	0.16531789721620468	0.0	0.864509102018317
0.711	0.1651612310717585	0.0	0.8646375021307777
0.712	0.16499646150604785	0.0	0.8647725436283658
0.713	0.16481008281696533	0.0	0.8649252954862933
0.714	0.1645453710556597	1.227008920354851E-5	0.8651400336054087
0.715	0.16427525701351112	1.227008920354851E-5	0.8653614131096515
0.716	0.16397272928630469	2.454017840709702E-5	0.8656071443593609
0.717	0.1636972129633131	3.681026761064553E-5	0.865830737658646
0.718	0.16332175444472657	3.681026761064553E-5	0.8661384551695435
0.719	0.16293549136445407	3.681026761064553E-5	0.8664550278606106
0.72	0.16256543512671048	3.681026761064553E-5	0.8667583177814232
0.721	0.16215756292306613	3.681026761064553E-5	0.8670926008328297
0.722	0.16168756448972757	4.908035681419404E-5	0.8674755873751696
0.723	0.1612148649159675	1.1043080283193659E-4	0.8678519325323822
0.724	0.16072595849967855	1.4724107044258213E-4	0.8682459880499344
0.725	0.1601803281345384	1.8405133805322765E-4	0.8686865332633774
0.726	0.15955636469717516	2.0859151646032467E-4	0.8691934923280933
0.727	0.158816252221688	2.331316948674217E-4	0.8697956445796335
0.728	0.15817338080137433	2.8221205168161575E-4	0.8703136726195615
0.729	0.15753321052148217	3.190223192922613E-4	0.8708317006594896
0.73	0.15672827067587936	3.435624976993583E-4	0.871486983992048
0.731	0.1559692502174418	4.4172321132774636E-4	0.8720913500386307
0.732	0.1550832761591944	4.908035681419404E-4	0.8728086196323772
0.733	0.1542378192072693	5.03073657345489E-4	0.8734993236856146
0.734	0.15338695997450125	5.889642817703285E-4	0.8741811725586822
0.735	0.15247667565246048	6.625848169916196E-4	0.8749139387177256
