W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,
,,,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg,Max,Min,Avg
3,20,1500,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.8632,1,0,0,0,0,0,0,0.9986,0.8526,1,0.8146,0.5261,0.1237,0.7357,0.5261,0.08876,0,0,0,0,0,0,0.9999,0.3451,0.3748,1.000,0.7961,1,0.8265,0.6425,0.7460,0,0,0,0,0,0,0.9626,0.8019,1,0.9999,0.5391,0.3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994,0.6191,0.9070
3,20,2000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.8642,1,0,0,0,0,0,0,1.000,0.8226,1,0.8471,0.5589,0.2482,0.6546,0.4646,0,0,0,0,0,0,0,1.000,0.4242,0.3825,1.000,0.8142,1,0.8689,0.644,0.6403,0,0,0,0,0,0,1.000,0.8344,1,1.000,0.5590,0.3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.6039,0.8811
3,30,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.9391,1,0,0,0,0,0,0,0.9143,0.7330,1,0.6853,0.5337,0,0.9747,0.8247,1,0,0,0,0,0,0,1.000,0.2790,0.3568,0.8529,0.7513,1,0.6736,0.6226,0,0,0,0,0,0,0,0.9572,0.8493,1,0.9998,0.4601,0.3756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.6324,0.8674
3,30,1500,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.8654,1,0,0,0,0,0,0,0.9999,0.8130,1,0.7515,0.4675,0.05993,0.8072,0.6728,0.9512,0,0,0,0,0,0,0.9995,0.2867,0.2774,0.8943,0.7350,1,0.7043,0.6170,0.01676,0,0,0,0,0,0,0.9315,0.8079,1,0.9988,0.4053,0.2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.4669,0.7354
3,30,2000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.8855,1,0,0,0,0,0,0,1.000,0.8620,1,0.7554,0.5391,0.1520,0.7678,0.6229,0.4407,0,0,0,0,0,0,1.000,0.3385,0.2853,0.9347,0.7743,1,0.7005,0.6124,0.003741,0,0,0,0,0,0,0.9420,0.7916,1,1.000,0.4399,0.2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.3889,0.6052
3,40,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.9587,1,0,0,0,0,0,0,0.8081,0.5793,0.5016,0.5890,0.5118,0,0.8998,0.8209,1,0,0,0,0,0,0,1.000,0.2446,0.2945,0.9153,0.8590,1,0.7408,0.7031,1,0,0,0,0,0,0,1.000,0.8469,1,1.000,0.3531,0.3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.6377,0.8777
3,40,1500,0,0,0,0,0,0,0,0,0,0,0,0,0.9940,0.9052,1,0,0,0,0,0,0,0.8789,0.6403,0.6713,0.6321,0.5049,0,0.9723,0.8874,1,0,0,0,0,0,0,1.000,0.2463,0.2479,0.9121,0.8105,1,0.7292,0.6815,0.8767,0,0,0,0,0,0,0.9438,0.8127,1,0.9999,0.3662,0.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9990,0.4948,0.6409
3,40,2000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.9240,1,0,0,0,0,0,0,0.9279,0.6880,0.9642,0.6880,0.5662,0,1.000,0.9472,1,0,0,0,0,0,0,1.000,0.3072,0.2593,0.9232,0.8339,1,0.7244,0.6673,0.2525,0,0,0,0,0,0,0.9504,0.8265,1,1.000,0.3726,0.2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.4599,0.6104
3,50,1000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.9611,1,0,0,0,0,0,0,0.757,0.5611,0.2221,0.5386,0.4672,0,0.9924,0.9239,1,0,0,0,0,0,0,0.9999,0.1525,0.2659,0.9994,0.9252,1,0.7386,0.7166,1,0,0,0,0,0,0,0.9484,0.8064,1,0.9996,0.4055,0.3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.5463,0.7443
3,50,1500,0,0,0,0,0,0,0,0,0,0,0,0,1.000,0.9560,1,0,0,0,0,0,0,0.8376,0.6146,0.5487,0.5704,0.4891,0,0.9498,0.8957,1,0,0,0,0,0,0,1.000,0.1819,0.2450,0.9750,0.8764,1,0.7115,0.6814,0.2815,0,0,0,0,0,0,0.8724,0.8036,1,1.000,0.3898,0.2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9983,0.4093,0.6160
