best_threshold: 0.86
false_positive_percentage: 0.0
false_negative_percentage: 1.0
number_of_tests_conducted: 80

minimized_false_positive_threshold: 0.05
false_positive_percentage: 0.0
false_negative_percentage: 0.9
number_of_tests_conducted: 80

equalized_false_positive_negative_threshold: 0.0
false_positive_percentage: 0.725
false_negative_percentage: 0.0
number_of_tests_conducted: 80

authentication_threshold	false_positive_percentage	false_negative_percentage	authentication_accuracy
3.94E-6	0.0	0.075	0.9625
3.95E-6	0.0	0.075	0.9625
3.96E-6	0.0	0.075	0.9625
3.97E-6	0.0	0.075	0.9625
3.98E-6	0.0	0.075	0.9625
3.99E-6	0.0	0.075	0.9625
4.0E-6	0.0	0.075	0.9625
4.01E-6	0.0	0.075	0.9625
4.0200000000000005E-6	0.0	0.075	0.9625
4.03E-6	0.0	0.075	0.9625
4.04E-6	0.0	0.075	0.9625
4.05E-6	0.0	0.075	0.9625
4.06E-6	0.0	0.075	0.9625
4.07E-6	0.0	0.075	0.9625
4.08E-6	0.0	0.075	0.9625
4.09E-6	0.0	0.075	0.9625
4.1E-6	0.0	0.075	0.9625
4.1100000000000005E-6	0.0	0.075	0.9625
4.12E-6	0.0	0.075	0.9625
4.13E-6	0.0	0.075	0.9625
4.14E-6	0.0	0.075	0.9625
4.15E-6	0.0	0.075	0.9625
4.16E-6	0.0	0.075	0.9625
4.17E-6	0.0	0.075	0.9625
4.18E-6	0.0	0.075	0.9625
4.19E-6	0.0	0.075	0.9625
4.2000000000000004E-6	0.0	0.075	0.9625
4.21E-6	0.0	0.075	0.9625
4.22E-6	0.0	0.075	0.9625
4.23E-6	0.0	0.075	0.9625
4.24E-6	0.0	0.075	0.9625
4.25E-6	0.0	0.075	0.9625
4.26E-6	0.0	0.075	0.9625
4.27E-6	0.0	0.075	0.9625
4.28E-6	0.0	0.075	0.9625
4.2900000000000004E-6	0.0	0.075	0.9625
4.3E-6	0.0	0.075	0.9625
4.31E-6	0.0	0.075	0.9625
4.32E-6	0.0	0.075	0.9625
4.33E-6	0.0	0.075	0.9625
4.34E-6	0.0	0.075	0.9625
4.35E-6	0.0	0.075	0.9625
4.36E-6	0.0	0.075	0.9625
4.3700000000000005E-6	0.0	0.075	0.9625
4.38E-6	0.0	0.075	0.9625
4.39E-6	0.0	0.075	0.9625
4.4E-6	0.0	0.075	0.9625
4.41E-6	0.0	0.075	0.9625
4.42E-6	0.0	0.075	0.9625
4.43E-6	0.0	0.075	0.9625
4.44E-6	0.0	0.075	0.9625
4.45E-6	0.0	0.075	0.9625
4.4600000000000005E-6	0.0	0.075	0.9625
4.47E-6	0.0	0.075	0.9625
4.48E-6	0.0	0.075	0.9625
4.49E-6	0.0	0.075	0.9625
4.5E-6	0.0	0.075	0.9625
4.51E-6	0.0	0.075	0.9625
4.52E-6	0.0	0.075	0.9625
4.53E-6	0.0	0.075	0.9625
4.54E-6	0.0	0.075	0.9625
4.5500000000000005E-6	0.0	0.075	0.9625
4.56E-6	0.0	0.075	0.9625
4.57E-6	0.0	0.075	0.9625
4.58E-6	0.0	0.075	0.9625
4.59E-6	0.0	0.075	0.9625
4.6E-6	0.0	0.075	0.9625
4.61E-6	0.0	0.075	0.9625
4.62E-6	0.0	0.075	0.9625
4.63E-6	0.0	0.075	0.9625
4.6400000000000005E-6	0.0	0.075	0.9625
4.65E-6	0.0	0.075	0.9625
4.66E-6	0.0	0.075	0.9625
4.67E-6	0.0	0.075	0.9625
4.68E-6	0.0	0.075	0.9625
4.69E-6	0.0	0.075	0.9625
4.7E-6	0.0	0.075	0.9625
4.71E-6	0.0	0.075	0.9625
4.72E-6	0.0	0.075	0.9625
4.7300000000000005E-6	0.0	0.075	0.9625
4.74E-6	0.0	0.075	0.9625
4.75E-6	0.0	0.075	0.9625
4.76E-6	0.0	0.075	0.9625
4.77E-6	0.0	0.075	0.9625
4.78E-6	0.0	0.075	0.9625
4.79E-6	0.0	0.075	0.9625
4.8E-6	0.0	0.075	0.9625
4.81E-6	0.0	0.075	0.9625
4.8200000000000004E-6	0.0	0.075	0.9625
4.83E-6	0.0	0.075	0.9625
4.84E-6	0.0	0.075	0.9625
4.85E-6	0.0	0.075	0.9625
4.86E-6	0.0	0.075	0.9625
4.87E-6	0.0	0.075	0.9625
4.88E-6	0.0	0.075	0.9625
4.89E-6	0.0	0.075	0.9625
4.9000000000000005E-6	0.0	0.075	0.9625
4.9100000000000004E-6	0.0	0.075	0.9625
4.92E-6	0.0	0.075	0.9625
4.93E-6	0.0	0.075	0.9625
4.94E-6	0.0	0.075	0.9625
4.95E-6	0.0	0.075	0.9625
4.96E-6	0.0	0.075	0.9625
4.97E-6	0.0	0.075	0.9625
4.98E-6	0.0	0.075	0.9625
4.9900000000000005E-6	0.0	0.075	0.9625
5.0E-6	0.0	0.075	0.9625
5.01E-6	0.0	0.075	0.9625
