"user", "device", "challenge", "response"
lyle, nexus-79, 1, "316.2143, 730.8572, 0.264000, 0.419355, 0.000000, 523.2329060936894, 767.697379224817, 0.841189, 2.777495, 2054.934544, 634.1621035239427, 716.488913315871, 0.782152, 16.649398, 9875.558890, 623.5246751757032, 510.9750989077232, 0.740121, 19.170674, 9331.946560, 704.5943686795623, 327.6257897688315, -0.114308, 26.667131, 8541.800000"
lyle, nexus-79, 1, "368.89285, 700.8572, 0.134400, 0.419355, 0.000000, 506.7696016320867, 808.7388075653371, 0.796800, 1.728746, 3029.558972, 644.592093809082, 764.5530682208056, 0.729553, 26.646230, 11302.992032, 635.8571, 554.3253875478068, 0.712794, 17.752328, 6401.478941, 670.1970188783569, 347.21776502129603, 0.634206, 2.073596, 8262.692263"
lyle, nexus-79, 1, "293.0, 721.4286, 0.403200, 0.419355, 0.000000, 497.23892353375754, 771.4094492912678, 0.816294, 0.547891, 2139.240064, 694.3044561411809, 811.3192089901673, 0.740678, 1.720605, 9939.925731, 617.2712420910922, 618.0332868171502, 0.743523, 6.174518, 10438.683407, 658.3147014898382, 412.6074111759482, 0.751470, 13.244282, 8023.149999"
lyle, nexus-79, 1, "330.5, 738.5714, 0.340800, 0.419355, 0.000000, 531.0303048024617, 795.1161333558983, 0.744145, 16.174514, 1724.770016, 625.263005447849, 737.1966898204336, 0.777552, 15.867359, 7862.125517, 617.2374652914959, 527.2384442161435, 0.808169, 6.057424, 8933.566573, 645.2537276964139, 323.83524796878976, -1.319492, 47.104447, 7348.800000"
lyle, nexus-79, 1, "367.10715, 719.7143, 0.451200, 0.419355, 0.000000, 556.7086274471133, 799.4982631132492, 0.860106, 2.262349, 1728.271388, 652.1363648324851, 771.920980992562, 0.796358, 13.311695, 7407.361392, 619.9581603593983, 571.4689938009493, 0.767180, 4.399472, 7923.619542, 651.5044483371703, 363.5033397217009, 0.763995, 0.857858, 8480.479459"
lyle, nexus-79, 1, "315.3214, 706.8572, 0.206400, 0.419355, 0.000000, 514.1266838584128, 771.5096124346819, 0.795125, 2.860094, 1475.760084, 637.9041092867592, 742.5602189017263, 0.748800, 7.253748, 8378.261717, 613.545949387697, 535.3483248381331, 0.758334, 23.469244, 6724.360860, 626.0357, 334.81421492660775, -1.260581, 65.981255, 6606.600000"
lyle, nexus-79, 1, "357.2857, 704.2857, 0.273600, 0.419355, 0.000000, 535.8631084164084, 801.4184945880203, 0.753205, 22.399435, 1304.296724, 646.2726307076443, 784.155460683962, 0.725245, 15.786255, 6430.666789, 606.3298759498117, 585.234236129213, 0.680567, 8.311928, 8034.922593, 648.5703476620187, 378.95365758170635, 0.690449, 3.466638, 6435.666863"
lyle, nexus-79, 1, "335.85715, 692.2857, 0.384000, 0.419355, 0.000000, 518.6791424978145, 783.6459289166247, 0.852082, 13.762211, 1347.098131, 634.7037077949076, 744.3763816652264, 0.725820, 22.048379, 8996.609016, 600.0401620408163, 536.8112011076864, 0.732104, 11.985910, 6631.739717, 635.4018966996529, 332.2625950384104, 0.656992, 3.662545, 7604.778206"
lyle, nexus-79, 1, "359.9643, 728.2857, 0.302400, 0.419355, 0.000000, 527.6718287023962, 842.5024808305222, 0.648707, 8.892553, 1593.532930, 618.3470216168637, 756.3527866836414, 0.699147, 13.445396, 7238.903619, 627.5331112235382, 546.1714618119835, 0.677648, 31.123840, 7377.193730, 640.1790045310548, 336.0760289236621, 0.699354, 11.780162, 5989.102627"
lyle, nexus-79, 1, "305.5, 729.1429, 0.432000, 0.419355, 0.000000, 511.6787884606868, 770.5489147433547, 0.779431, 21.744912, 1045.933360, 667.4282530368099, 786.0762805288484, 0.678712, 4.454662, 5371.683447, 611.6716958818694, 586.8675312091666, 0.662918, 22.211402, 11408.984299, 644.7033552465251, 379.3175174426705, 0.605796, 4.006803, 7651.885379"
