W,K,T,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,02-25-14_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,2-2-26_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_2-2-26_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_3-30-15_timdee_07924e50.csv.csv,,3-30-15_timdee_07924e50.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_02-25-14_IanRichardson_015d4a82904c0c07.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_2-2-26_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_3-30-15_timdee_07924e50.csv.csv,,4-2-15_IanRichardson_015d4a82904c0c07.csvagainst_4-2-15_IanRichardson_015d4a82904c0c07.csv.csv,
,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min
3,30,1500,0,1,0,1,0,1,0,1,1.000,0.9002,0,1,0,1,0.9341,0.7673,0.7272,0.5324,0.8381,0.7417,0,1,0,1,0.9999,0.3135,0.9157,0.8058,0,1,0,1,0,1,0.9191,0.8016,1.000,0.4776,0,1,0,1,0,1,0,1,0,1,1.000,0.7602
3,30,2000,0,1,0,1,0,1,0,1,1.000,0.9102,0,1,0,1,0.9305,0.7964,0.7463,0.5948,0.8313,0.7326,0,1,0,1,1.000,0.3061,0.9357,0.8103,0,1,0,1,0,1,0.9327,0.8163,0.9999,0.4767,0,1,0,1,0,1,0,1,0,1,1.000,0.7311
3,40,1000,0,1,0,1,0,1,0,1,0.9934,0.9306,0,1,0,1,0.6542,0.5457,0.5550,0.4846,0.8593,0.8277,0,1,0,1,0.9995,0.4417,0.8582,0.8072,0,1,0,1,0,1,0.8996,0.8027,0.9994,0.4895,0,1,0,1,0,1,0,1,0,1,0.9998,0.8177
3,40,1500,0,1,0,1,0,1,0,1,0.9871,0.8969,0,1,0,1,0.8161,0.6092,0.6262,0.5095,0.9465,0.9072,0,1,0,1,1.000,0.2640,0.8746,0.7704,0,1,0,1,0,1,0.8865,0.7886,1.000,0.4446,0,1,0,1,0,1,0,1,0,1,1.000,0.7248
3,40,2000,0,1,0,1,0,1,0,1,1.000,0.9135,0,1,0,1,0.8661,0.6569,0.6846,0.5649,0.9902,0.9368,0,1,0,1,0.9999,0.2504,0.8734,0.7642,0,1,0,1,0,1,0.8998,0.8033,0.9999,0.4428,0,1,0,1,0,1,0,1,0,1,0.9990,0.7056
3,50,1000,0,1,0,1,0,1,0,1,1.000,0.9569,0,1,0,1,0.5975,0.5207,0.4827,0.4432,0.9697,0.9396,0,1,0,1,0.9999,0.4395,0.8972,0.8564,0,1,0,1,0,1,0.8876,0.7256,0.9999,0.4494,0,1,0,1,0,1,0,1,0,1,0.9999,0.7920
3,50,1500,0,1,0,1,0,1,0,1,1.000,0.9512,0,1,0,1,0.7548,0.5761,0.5469,0.4667,0.9873,0.9477,0,1,0,1,1.000,0.2267,0.9203,0.8520,0,1,0,1,0,1,0.9076,0.7339,1.000,0.3928,0,1,0,1,0,1,0,1,0,1,0.9999,0.7196
3,50,2000,0,1,0,1,0,1,0,1,1.000,0.9552,0,1,0,1,0.8096,0.6252,0.5886,0.5093,0.9382,0.8947,0,1,0,1,0.9998,0.2330,0.9241,0.8475,0,1,0,1,0,1,0.9184,0.7428,1.000,0.3778,0,1,0,1,0,1,0,1,0,1,0.9999,0.6984
4,5,1000,0,1,0,1,0,1,0,1,0.9999,0.3842,0,1,0,1,0.719,0.5175,0.8297,0.5117,0,1,0,1,0,1,0.8852,0.6665,0.6914,0.495,0,1,0,1,0,1,0.7025,0.2958,0.8828,0.6651,0,1,0,1,0,1,0,1,0,1,0.8067,0.6664
4,5,1500,0,1,0,1,0,1,0,1,1.000,0.6117,0,1,0,1,0.6858,0.2362,0.9800,0.3754,0.7273,0.485,0,1,0,1,0.9989,0.6667,0.7680,0.4521,0,1,0,1,0,1,0.6908,0.4046,1.000,0.6663,0,1,0,1,0,1,0,1,0,1,0.8153,0.6665
4,5,2000,0,1,0,1,0,1,0,1,0.9999,0.4454,0,1,0,1,0.673,0.4479,0.9999,0.4933,0.7704,0.4604,0,1,0,1,0.9999,0.6652,0.8023,0.50,0,1,0,1,0,1,0.7035,0.3679,0.9999,0.6655,0,1,0,1,0,1,0,1,0,1,0.8741,0.6658
4,6,1000,0,1,0,1,0,1,0,1,0.7819,0.5997,0,1,0,1,1.000,0.8102,0.9431,0.6704,0,1,0,1,0,1,0.9783,0.8182,0.7838,0.7092,0,1,0,1,0,1,0.7499,0.4988,0.9637,0.6610,0,1,0,1,0,1,0,1,0,1,0.7676,0.6667
4,6,1500,0,1,0,1,0,1,0,1,0.8352,0.5438,0,1,0,1,1.000,0.8258,0.9998,0.5063,0.7927,0.6905,0,1,0,1,1.000,0.6917,0.9747,0.72,0,1,0,1,0,1,0.6667,0.4371,0.9989,0.6665,0,1,0,1,0,1,0,1,0,1,0.8377,0.6650
4,6,2000,0,1,0,1,0,1,0,1,0.8928,0.6079,0,1,0,1,1.00,0.7266,1.000,0.4491,0.8052,0.6619,0,1,0,1,1.000,0.7003,0.9979,0.7034,0,1,0,1,0,1,0.7556,0.5267,0.9989,0.6630,0,1,0,1,0,1,0,1,0,1,0.8631,0.6667
4,7,1000,0,1,0,1,0,1,0,1,0.9771,0.7224,0,1,0,1,0.9999,0.8178,0.867,0.5152,0,1,0,1,0,1,0.9999,0.7778,0.8190,0.7083,0,1,0,1,0,1,0.9609,0.8291,1.000,0.805,0,1,0,1,0,1,0,1,0,1,0.7485,0.6667
