"ngram", "key", "probability_key"
118, 46, 0.021660649819494584
118, -3, 0.0036101083032490976
118, 10, 0.018050541516245487
118, 117, 0.007220216606498195
118, 109, 0.0036101083032490976
118, 108, 0.01444043321299639
118, 110, 0.0036101083032490976
118, 99, 0.0036101083032490976
118, 107, 0.007220216606498195
118, 109, 0.0036101083032490976
118, 117, 0.0036101083032490976
97, 122, 0.12
97, 104, 0.02
97, 118, 0.02
97, 32, 0.1
97, 46, 0.06
97, 120, 0.04
97, 106, 0.1
97, 107, 0.04
97, -2, 0.06
97, 46, 0.04
97, 32, 0.12
97, 107, 0.04
97, 117, 0.02
97, 10, 0.02
97, 104, 0.02
97, 102, 0.04
97, 109, 0.02
97, -5, 0.02
97, 106, 0.02
97, 105, 0.02
97, 100, 0.02
97, 10, 0.02
97, -3, 0.02
122, 46, 0.03761061946902655
122, -2, 0.09513274336283185
122, -1, 0.03761061946902655
122, 32, 0.09955752212389381
122, 46, 0.07300884955752213
122, 98, 0.024336283185840708
122, 122, 0.0420353982300885
122, 102, 0.01327433628318584
122, 106, 0.008849557522123894
122, 32, 0.10619469026548672
122, -1, 0.01991150442477876
122, -2, 0.05530973451327434
122, -3, 0.01327433628318584
122, -5, 0.022123893805309734
122, 122, 0.048672566371681415
122, 10, 0.035398230088495575
122, 108, 0.00663716814159292
122, 110, 0.00663716814159292
122, 109, 0.011061946902654867
122, 112, 0.0022123893805309734
122, -3, 0.008849557522123894
122, 99, 0.017699115044247787
122, 99, 0.008849557522123894
122, 107, 0.008849557522123894
122, 97, 0.0022123893805309734
122, 120, 0.00663716814159292
122, 98, 0.024336283185840708
122, -5, 0.011061946902654867
122, 118, 0.00663716814159292
122, 109, 0.01327433628318584
122, 10, 0.028761061946902654
122, 104, 0.011061946902654867
122, 106, 0.01327433628318584
122, 102, 0.017699115044247787
122, 120, 0.015486725663716814
122, 118, 0.008849557522123894
122, 107, 0.00663716814159292
122, 104, 0.015486725663716814
122, 108, 0.004424778761061947
122, 105, 0.0022123893805309734
122, 117, 0.004424778761061947
122, 117, 0.0022123893805309734
122, 111, 0.0022123893805309734
46, -2, 0.027225130890052355
46, 122, 0.033507853403141365
46, -2, 0.039790575916230364
46, 32, 0.04397905759162304
46, 118, 0.03769633507853403
46, 106, 0.1612565445026178
46, -1, 0.005235602094240838
46, 107, 0.007329842931937173
46, -5, 0.023036649214659685
46, 102, 0.04293193717277487
46, 117, 0.040837696335078534
46, 32, 0.05549738219895288
46, 103, 0.04502617801047121
46, 105, 0.012565445026178011
46, 99, 0.008376963350785341
46, 120, 0.027225130890052355
46, 10, 0.06701570680628273
46, 109, 0.0062827225130890054
46, 103, 0.02198952879581152
46, 122, 0.024083769633507852
46, -1, 0.005235602094240838
46, 106, 0.07853403141361257
46, 118, 0.015706806282722512
46, 102, 0.030366492146596858
46, 114, 0.004188481675392671
46, 117, 0.020942408376963352
46, 46, 0.0062827225130890054
46, 120, 0.015706806282722512
46, 10, 0.023036649214659685
46, 115, 0.007329842931937173
46, 100, 0.0031413612565445027
46, 121, 0.0031413612565445027
46, 114, 0.005235602094240838
46, 99, 0.007329842931937173
46, 109, 0.0010471204188481676
46, 107, 0.0031413612565445027
46, -5, 0.018848167539267015
46, 46, 0.0031413612565445027
46, 116, 0.0010471204188481676
46, 105, 0.005235602094240838
46, 108, 0.0031413612565445027
46, 108, 0.004188481675392671
46, 121, 0.0010471204188481676
46, 104, 0.0010471204188481676
46, 115, 0.0010471204188481676
-2, 121, 0.0035536602700781805
-2, 121, 0.0014214641080312722
-2, 120, 0.02914001421464108
-2, 97, 0.0035536602700781805
-2, 102, 0.011371712864250177
-2, 117, 0.0028429282160625444
-2, 104, 0.011371712864250177
-2, -2, 0.06325515280739161
-2, -2, 0.1044776119402985
-2, 103, 0.015636105188343994
-2, 115, 0.0042643923240938165
-2, 122, 0.04619758351101635
-2, 106, 0.013503909026297086
-2, -5, 0.024164889836531627
-2, 100, 0.007107320540156361
-2, 32, 0.048329779673063254
-2, 107, 0.017768301350390904
-2, -1, 0.06183368869936034
-2, 122, 0.058990760483297794
-2, 103, 0.017057569296375266
-2, 112, 7.107320540156361E-4
-2, -1, 0.05472636815920398
-2, 99, 0.011371712864250177
