"ngram", "key", "probability_key"
-2, 10, 0.02464788732394366
-2, 46, 0.01056338028169014
-2, 103, 0.01056338028169014
-2, -3, 0.0035211267605633804
-2, 99, 0.0035211267605633804
-2, 100, 0.007042253521126761
-2, 46, 0.007042253521126761
-2, 102, 0.014084507042253521
-2, 102, 0.007042253521126761
-2, 104, 0.0035211267605633804
-2, 117, 0.0035211267605633804
-2, 101, 0.0035211267605633804
-2, 105, 0.0035211267605633804
107, 104, 0.06521739130434782
107, -2, 0.10869565217391304
107, 121, 0.021739130434782608
107, -1, 0.1956521739130435
107, 108, 0.021739130434782608
107, 10, 0.06521739130434782
107, -2, 0.1956521739130435
107, -1, 0.021739130434782608
107, 122, 0.021739130434782608
107, 46, 0.021739130434782608
107, 106, 0.043478260869565216
107, 46, 0.043478260869565216
107, 10, 0.15217391304347827
107, 101, 0.021739130434782608
104, 10, 0.08695652173913043
104, 98, 0.021739130434782608
104, -2, 0.15217391304347827
104, 46, 0.06521739130434782
104, 106, 0.021739130434782608
104, 32, 0.06521739130434782
104, 102, 0.021739130434782608
104, -2, 0.10869565217391304
104, -5, 0.15217391304347827
104, 107, 0.021739130434782608
104, 104, 0.021739130434782608
104, 46, 0.043478260869565216
104, -1, 0.021739130434782608
104, -1, 0.021739130434782608
104, 32, 0.08695652173913043
104, 104, 0.021739130434782608
104, 102, 0.021739130434782608
104, 10, 0.021739130434782608
104, 120, 0.021739130434782608
10, 120, 0.011299435028248588
10, 118, 0.011299435028248588
10, -2, 0.0903954802259887
10, -5, 0.02824858757062147
10, 106, 0.06779661016949153
10, 116, 0.03954802259887006
10, 103, 0.01694915254237288
10, 103, 0.011299435028248588
10, -3, 0.04519774011299435
10, 32, 0.03389830508474576
10, 121, 0.02824858757062147
10, -5, 0.01694915254237288
10, 10, 0.01694915254237288
10, 32, 0.01694915254237288
10, 46, 0.05649717514124294
10, 121, 0.03389830508474576
10, -2, 0.0903954802259887
10, 106, 0.0847457627118644
10, 46, 0.01694915254237288
10, 99, 0.022598870056497175
10, 99, 0.03389830508474576
10, 116, 0.02824858757062147
10, 10, 0.03954802259887006
10, 108, 0.011299435028248588
10, 107, 0.05084745762711865
10, -1, 0.005649717514124294
10, 107, 0.022598870056497175
10, 104, 0.005649717514124294
10, 102, 0.022598870056497175
10, -3, 0.01694915254237288
10, 120, 0.005649717514124294
10, 118, 0.005649717514124294
10, 108, 0.005649717514124294
10, 102, 0.005649717514124294
120, 46, 0.041666666666666664
120, 103, 0.08333333333333333
120, 10, 0.041666666666666664
120, -2, 0.08333333333333333
120, 121, 0.1875
120, 121, 0.14583333333333334
120, -1, 0.041666666666666664
120, 110, 0.020833333333333332
120, 32, 0.020833333333333332
120, 118, 0.020833333333333332
120, 46, 0.041666666666666664
120, 116, 0.041666666666666664
120, 10, 0.020833333333333332
120, 116, 0.020833333333333332
120, 104, 0.020833333333333332
120, -2, 0.041666666666666664
120, 101, 0.020833333333333332
120, -3, 0.020833333333333332
120, 122, 0.041666666666666664
120, 122, 0.020833333333333332
120, 120, 0.020833333333333332
46, -2, 0.06962025316455696
46, 106, 0.13291139240506328
46, 32, 0.10126582278481013
46, 106, 0.11392405063291139
46, 107, 0.0189873417721519
46, 107, 0.0189873417721519
46, 122, 0.06329113924050633
46, 32, 0.0759493670886076
46, 10, 0.03164556962025317
46, 118, 0.012658227848101266
46, 116, 0.006329113924050633
46, -5, 0.0189873417721519
46, 99, 0.006329113924050633
46, 122, 0.03164556962025317
46, 104, 0.012658227848101266
46, -5, 0.056962025316455694
46, -1, 0.006329113924050633
46, -2, 0.08227848101265822
46, 99, 0.012658227848101266
46, 103, 0.006329113924050633
46, 98, 0.006329113924050633
46, 103, 0.012658227848101266
46, 120, 0.0189873417721519
46, 10, 0.04430379746835443
46, 102, 0.012658227848101266
46, 109, 0.006329113924050633
46, 102, 0.012658227848101266
46, 115, 0.006329113924050633
32, 98, 0.057692307692307696
32, -5, 0.019230769230769232
32, 122, 0.02403846153846154
32, -2, 0.09615384615384616
32, 121, 0.04326923076923077
32, 122, 0.014423076923076924
32, 46, 0.08653846153846154
32, -1, 0.028846153846153848
32, 103, 0.009615384615384616
32, -2, 0.052884615384615384
32, 105, 0.004807692307692308
32, 98, 0.10096153846153846
32, 121, 0.04326923076923077
32, 116, 0.0625
32, 10, 0.04807692307692308
32, 32, 0.03365384615384615
32, -1, 0.028846153846153848
32, 46, 0.052884615384615384
32, -5, 0.004807692307692308
32, 116, 0.057692307692307696
32, 10, 0.02403846153846154
32, 32, 0.028846153846153848
32, 107, 0.004807692307692308
32, 103, 0.009615384615384616
